Date,Cash,CELG,CRM,ATTO,DFJ,EFA,SWPPX,OPGIX,TCEHY,BLCM,FOSL,IVV,MSI,NEE,WB,SNAP
7/13/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/16/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/17/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/18/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/19/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/20/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/23/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/24/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/25/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/26/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/27/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/30/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/31/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/1/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/2/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/3/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/6/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/7/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/8/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/9/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/10/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/13/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/14/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/15/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/16/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/17/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/20/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/21/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/22/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/23/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/24/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/27/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/28/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/29/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/30/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/31/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/3/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/4/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/5/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/6/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/7/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/10/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/11/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/12/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/13/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/14/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/17/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/18/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/19/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/20/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/21/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/24/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/25/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/26/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/27/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
9/28/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/1/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/2/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/3/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/4/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/5/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/8/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/9/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/10/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/11/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/12/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/15/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/16/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/17/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/18/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/19/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/22/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
